listing_id,source,url,title,description,category,property_type,transaction_type,price,price_per_sqm,area_sqm,bedrooms,bathrooms,num_floors,direction,direction_code,legal_status,legal_status_code,furniture,address_raw,ward_code,district,ward,lat,lng,account_id,account_name,phone,is_broker,images,posted_at,scraped_at,is_active
1001,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1001.htm,Nha 3 tang Hai Chau,,1020,house,sale,3500000000,43750000,80,3,2,3,Huong Dong,1,So hong/ So do,1,Day du,"Phuong Thanh Binh, Hai Chau, Da Nang",100,Hải Châu,Phuong Thanh Binh,16.0472,108.2208,5001,Cty BDS ABC,0900000001,true,[],2026-05-04 09:00:00,2026-05-28 08:00:00,true
1002,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1002.htm,Nha mat tien Hai Chau,,1020,house,sale,4200000000,42000000,100,4,3,4,Huong Tay,2,So hong/ So do,1,Co ban,"Phuong Hoa Cuong, Hai Chau, Da Nang",101,Hải Châu,Phuong Hoa Cuong,16.0431,108.2230,5001,Cty BDS ABC,0900000001,true,[],2026-05-06 09:00:00,2026-05-28 08:00:00,true
1003,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1003.htm,Nha pho Son Tra,,1020,house,sale,2800000000,40000000,70,3,2,2,Huong Nam,3,So hong/ So do,1,Day du,"Phuong An Hai Bac, Son Tra, Da Nang",102,Sơn Trà,Phuong An Hai Bac,16.0850,108.2350,5001,Cty BDS ABC,0900000001,true,[],2026-05-08 09:00:00,2026-05-28 08:00:00,true
1004,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1004.htm,Nha 4 tang Thanh Khe,,1020,house,sale,5100000000,42500000,120,4,3,4,Huong Bac,4,So hong/ So do,1,Co ban,"Phuong Xuan Ha, Thanh Khe, Da Nang",103,Thanh Khê,Phuong Xuan Ha,16.0639,108.1917,5001,Cty BDS ABC,0900000001,true,[],2026-05-10 09:00:00,2026-05-28 08:00:00,true
1005,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1005.htm,Nha vuon Ngu Hanh Son,,1020,house,sale,3900000000,41052631,95,3,2,3,Huong Dong Nam,7,So hong/ So do,1,Day du,"Phuong My An, Ngu Hanh Son, Da Nang",104,Ngũ Hành Sơn,Phuong My An,16.0300,108.2480,5001,Cty BDS ABC,0900000001,true,[],2026-05-12 09:00:00,2026-05-28 08:00:00,true
1006,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1006.htm,Can ho cao cap Son Tra,,1010,apartment,rent,12000000,218181,55,2,1,1,Huong Dong,1,Hop dong mua ban,2,Day du,"Phuong Tho Quang, Son Tra, Da Nang",105,Sơn Trà,Phuong Tho Quang,16.1050,108.2470,6001,Nguyen Van A,0900000006,false,[],2026-05-14 09:00:00,2026-05-28 08:00:00,true
1007,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1007.htm,Dat nen Ngu Hanh Son,,1040,land,sale,6000000000,40000000,150,,,,Huong Tay,2,So hong/ So do,1,,"Phuong Hoa Hai, Ngu Hanh Son, Da Nang",106,Ngũ Hành Sơn,Phuong Hoa Hai,16.0194,108.2536,6002,Tran Thi B,0900000007,false,[],2026-05-15 09:00:00,2026-05-28 08:00:00,true
1008,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1008.htm,Can ho trung tam Hai Chau,,1010,apartment,sale,2200000000,36666666,60,2,2,1,Huong Bac,4,So hong/ So do,1,Co ban,"Phuong Thach Thang, Hai Chau, Da Nang",107,Hải Châu,Phuong Thach Thang,16.0700,108.2230,6003,Le Van C,0900000008,false,[],2026-05-16 09:00:00,2026-05-28 08:00:00,true
1009,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1009.htm,Nha cho thue Thanh Khe,,1020,house,rent,25000000,277777,90,4,3,3,Huong Nam,3,So hong/ So do,1,Day du,"Phuong Tan Chinh, Thanh Khe, Da Nang",108,Thanh Khê,Phuong Tan Chinh,16.0610,108.1880,6004,Pham Thi D,0900000009,false,[],2026-05-18 09:00:00,2026-05-28 08:00:00,true
1010,nhatot,https://www.nhatot.com/vi/mua-ban-nha-dat/1010.htm,Nha gan bien Ngu Hanh Son,,1020,house,sale,4500000000,40909090,110,4,3,3,Huong Dong,1,So hong/ So do,1,Co ban,"Phuong Hoa Hai, Ngu Hanh Son, Da Nang",106,Ngũ Hành Sơn,Phuong Hoa Hai,,,6005,Hoang Van E,0900000010,false,[],2026-05-20 09:00:00,2026-05-28 08:00:00,true
